queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
FIFO Queue;1;48;100;10;2.81096;3.1669;35.575;0.657847
FIFO Queue;2;48;100;10;1.62901;2.20857;61.3868;0.943295
FIFO Queue;3;48;100;10;1.71049;1.98577;58.4629;1.04913
FIFO Queue;4;48;100;10;2.13268;1.6548;46.8894;1.25896
FIFO Queue;5;48;100;10;1.154;1.0893;86.6548;1.91254
FIFO Queue;6;48;100;10;0.854231;1.02632;117.064;2.0299
FIFO Queue;7;48;100;10;0.867446;0.787186;115.281;2.64656
FIFO Queue;8;48;100;10;1.85635;1.1555;53.8692;1.80298
FIFO Queue;9;48;100;10;1.47623;1.86696;67.7403;1.1159
FIFO Queue;10;48;100;10;0.848621;0.829265;117.838;2.51226
