thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
6;10000;10;2.0101;2.6239;4974.88;635.187
6;10000;10;1.8128;2.6499;5516.33;628.955
6;10000;10;1.692;2.6089;5910.17;638.839
6;10000;10;1.7435;2.6489;5735.59;629.192
6;10000;10;1.803;3.0384;5546.31;548.534
6;10000;10;1.8758;2.848;5331.06;585.206
6;10000;10;1.5175;3.0285;6589.79;550.327
6;10000;10;1.5991;2.6931;6253.52;618.865
6;10000;10;1.597;2.6016;6261.74;640.631
6;10000;10;1.1813;2.4644;8465.25;676.297
