queue name;run id;thread count;object count;object size;total enqueue time;total dequeue time;enqueue rate;dequeue rate
LockBased Queue;1;24;100;10;7.1781;0.001;13.9313;4166.67
LockBased Queue;2;24;100;10;0.5567;0.0013;179.63;3205.13
LockBased Queue;3;24;100;10;0.5446;0.0011;183.621;3787.88
LockBased Queue;4;24;100;10;0.9413;0.0011;106.236;3787.88
LockBased Queue;5;24;100;10;0.5824;0.001;171.703;4166.67
LockBased Queue;6;24;100;10;0.5915;0.0011;169.062;3787.88
LockBased Queue;7;24;100;10;0.5799;0.0011;172.444;3787.88
LockBased Queue;8;24;100;10;0.5764;0.0011;173.491;3787.88
LockBased Queue;9;24;100;10;0.5358;0.001;186.637;4166.67
LockBased Queue;10;24;100;10;0.5274;0.0011;189.609;3787.88
